Rouge Type,Filename,ROUGE-1,ROUGE-1,ROUGE-1,ROUGE-2,ROUGE-2,ROUGE-2,ROUGE-3,ROUGE-3,ROUGE-3,ROUGE-4,ROUGE-4,ROUGE-4,ROUGE-L,ROUGE-L,ROUGE-L,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-S*,ROUGE-S*,ROUGE-S*,ROUGE-SU*,ROUGE-SU*,ROUGE-SU*
221,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-116-article_output,0.57018,0.47619,0.51896,0.3304,0.27574,0.30061,0.22566,0.18819,0.20523,0.17333,0.14444,0.15757,0.53947,0.45055,0.49102,0.3275,0.12991,0.18603,0.30288,0.21111,0.2488,0.30519,0.21302,0.25091
222,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-224-article_output,0.78195,0.84553,0.8125,0.70455,0.7623,0.73229,0.67939,0.73554,0.70635,0.65385,0.70833,0.68,0.77444,0.8374,0.80469,0.61329,0.30378,0.40631,0.60276,0.70518,0.64996,0.60539,0.70741,0.65244
223,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-126-article_output,0.67111,0.52431,0.5887,0.41518,0.32404,0.36399,0.29596,0.23077,0.25933,0.22072,0.17193,0.19329,0.62667,0.48958,0.54971,0.36571,0.13899,0.20143,0.45813,0.27935,0.34707,0.46,0.28103,0.3489
224,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-120-article_output,0.67284,0.36093,0.46983,0.40373,0.21595,0.28139,0.31875,0.17,0.22174,0.27044,0.14381,0.18777,0.64198,0.34437,0.44828,0.39505,0.10143,0.16142,0.44774,0.12847,0.19965,0.45046,0.12998,0.20175
225,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-213-article_output,0.70918,0.53876,0.61233,0.48205,0.36576,0.41593,0.41237,0.3125,0.35556,0.38342,0.2902,0.33036,0.66327,0.50388,0.57269,0.43551,0.15427,0.22783,0.45735,0.26363,0.33446,0.45988,0.26573,0.33683
226,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-150-article_output,0.81405,0.57602,0.67466,0.57676,0.40762,0.47766,0.51667,0.36471,0.42759,0.4728,0.33333,0.391,0.76446,0.54094,0.63356,0.48272,0.15539,0.2351,0.60574,0.30293,0.40388,0.60744,0.30451,0.40566
227,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-135-article_output,0.81818,0.43231,0.56571,0.68333,0.35965,0.47126,0.57983,0.30396,0.39884,0.51695,0.26991,0.35465,0.80992,0.42795,0.56,0.37116,0.10017,0.15776,0.66309,0.1844,0.28856,0.66558,0.18653,0.2914
228,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-210-article_output,0.38235,0.37321,0.37772,0.09852,0.09615,0.09732,0.0198,0.01932,0.01956,0.0,0.0,0.0,0.33333,0.32536,0.3293,0.1817,0.08953,0.11995,0.15483,0.1475,0.15108,0.15706,0.14965,0.15327
229,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-219-article_output,0.63636,0.33333,0.4375,0.33333,0.17073,0.2258,0.1,0.05,0.06667,0.0,0.0,0.0,0.63636,0.33333,0.4375,0.47971,0.11899,0.19068,0.39394,0.10569,0.16667,0.41667,0.11641,0.18198
230,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-216-article_output,0.79741,0.99462,0.88516,0.78355,0.97838,0.87019,0.76522,0.95652,0.85024,0.75109,0.93989,0.83495,0.78879,0.98387,0.8756,0.60793,0.34965,0.44396,0.63446,0.98814,0.77275,0.63585,0.98821,0.77381
231,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-158-article_output,0.81724,0.73148,0.77199,0.68858,0.6161,0.65033,0.63542,0.56832,0.6,0.59582,0.53271,0.5625,0.79655,0.71296,0.75244,0.53054,0.22466,0.31565,0.64047,0.51292,0.56964,0.64168,0.51425,0.57094
232,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-141-article_output,0.9321,0.65086,0.7665,0.78882,0.54978,0.64796,0.70625,0.4913,0.57948,0.62893,0.43668,0.51546,0.88272,0.61638,0.72589,0.60397,0.20179,0.30251,0.85062,0.41398,0.55692,0.85161,0.41599,0.55895
233,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-170-article_output,0.41558,0.43243,0.42384,0.18421,0.19178,0.18792,0.14667,0.15278,0.14966,0.13514,0.14085,0.13794,0.38961,0.40541,0.39735,0.26346,0.15207,0.19283,0.14081,0.15254,0.14644,0.14757,0.1597,0.1534
234,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-218-article_output,0.875,0.50199,0.63797,0.72028,0.412,0.52417,0.66197,0.37751,0.48082,0.62411,0.35484,0.45244,0.84028,0.48207,0.61266,0.46315,0.12707,0.19943,0.73456,0.24105,0.36298,0.73656,0.24313,0.36558
235,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-113-article_output,0.74074,0.54795,0.62992,0.49442,0.36538,0.42022,0.42164,0.31129,0.35816,0.3633,0.26796,0.30843,0.70741,0.52329,0.60158,0.41741,0.14587,0.21619,0.53499,0.29246,0.37818,0.53649,0.29384,0.37971
236,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-159-article_output,0.77358,0.96094,0.85714,0.74684,0.92913,0.82807,0.72611,0.90476,0.80565,0.70513,0.88,0.78292,0.7673,0.95312,0.85017,0.61008,0.3778,0.46663,0.59287,0.91622,0.7199,0.59509,0.9169,0.72175
237,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-199-article_output,0.75333,0.78472,0.7687,0.71141,0.74126,0.72603,0.67568,0.70423,0.68966,0.63946,0.66667,0.65278,0.75333,0.78472,0.7687,0.5886,0.30454,0.4014,0.54398,0.59042,0.56625,0.54671,0.59306,0.56894
238,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-199-article_output,0.90909,0.55556,0.68966,0.81609,0.4965,0.61739,0.77907,0.47183,0.58772,0.76471,0.46099,0.57522,0.90909,0.55556,0.68966,0.56948,0.17286,0.26522,0.75993,0.28254,0.41193,0.76322,0.28623,0.41633
239,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-202-article_output,0.73585,0.8125,0.77228,0.63291,0.6993,0.66445,0.59236,0.65493,0.62208,0.57051,0.63121,0.59933,0.7044,0.77778,0.73927,0.52268,0.27924,0.36401,0.53722,0.6554,0.59045,0.53967,0.65753,0.5928
240,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-209-article_output,0.81633,0.54795,0.65574,0.72917,0.48611,0.58333,0.70213,0.46479,0.55932,0.67391,0.44286,0.53448,0.5102,0.34247,0.40984,0.47631,0.13555,0.21104,0.47109,0.21081,0.29128,0.48529,0.22,0.30275
241,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-169-article_output,0.69167,0.92222,0.79048,0.63025,0.8427,0.72115,0.61017,0.81818,0.69903,0.58974,0.7931,0.67647,0.69167,0.92222,0.79048,0.59918,0.39276,0.47449,0.40378,0.71985,0.51736,0.4086,0.72447,0.52251
242,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-166-article_output,0.4058,0.96552,0.57143,0.38235,0.92857,0.54166,0.35821,0.88889,0.51064,0.33333,0.84615,0.47826,0.4058,0.96552,0.57143,0.3645,0.44225,0.39963,0.16113,0.93103,0.27472,0.16777,0.93318,0.28441
243,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-134-article_output,0.6,0.26744,0.36997,0.24561,0.10895,0.15094,0.15044,0.06641,0.09214,0.125,0.0549,0.07629,0.50435,0.22481,0.311,0.31475,0.06529,0.10815,0.30191,0.05969,0.09967,0.30709,0.0613,0.1022
244,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-213-article_output,0.68898,0.67829,0.68359,0.52174,0.51362,0.51765,0.47222,0.46484,0.4685,0.44223,0.43529,0.43873,0.66142,0.65116,0.65625,0.45945,0.21091,0.28911,0.35819,0.34715,0.35258,0.3608,0.34972,0.35517
245,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-196-article_output,0.65084,0.82624,0.72813,0.56303,0.7153,0.6301,0.54775,0.69643,0.61321,0.53521,0.681,0.59937,0.63966,0.81206,0.71562,0.45773,0.28191,0.34892,0.41591,0.67081,0.51347,0.41723,0.67192,0.5148
246,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-148-article_output,0.66842,0.38138,0.48566,0.37037,0.21084,0.26871,0.25,0.14199,0.18111,0.20856,0.11818,0.15087,0.60526,0.34535,0.43977,0.3757,0.10082,0.15898,0.4406,0.14311,0.21605,0.44296,0.14452,0.21794
247,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-153-article_output,0.75362,0.21138,0.33016,0.47059,0.13061,0.20447,0.38806,0.10656,0.16721,0.31818,0.08642,0.13592,0.66667,0.18699,0.29206,0.45749,0.06212,0.10939,0.52984,0.04125,0.07654,0.53645,0.04263,0.07898
248,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-197-article_output,0.85714,0.49412,0.62687,0.73196,0.42012,0.53384,0.67708,0.3869,0.49242,0.64211,0.36527,0.46565,0.82653,0.47647,0.60448,0.58428,0.1675,0.26036,0.72523,0.23996,0.36061,0.72784,0.24288,0.36422
249,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-119-article_output,0.42604,0.64,0.51155,0.22849,0.34375,0.27451,0.16071,0.24215,0.1932,0.12537,0.18919,0.15081,0.38757,0.58222,0.46536,0.2404,0.17299,0.2012,0.17265,0.3902,0.23938,0.17415,0.39242,0.24124
250,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-175-article_output,0.68687,0.59649,0.6385,0.48223,0.4185,0.44811,0.44898,0.38938,0.41706,0.43077,0.37333,0.4,0.66667,0.57895,0.61972,0.44934,0.19213,0.26917,0.44024,0.33179,0.3784,0.44269,0.33407,0.38079
251,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-149-article_output,0.64045,0.49565,0.55882,0.33333,0.25764,0.29064,0.26705,0.20614,0.23267,0.23429,0.18062,0.20398,0.60112,0.46522,0.52451,0.37879,0.14643,0.21121,0.36247,0.21682,0.27133,0.3656,0.21924,0.27411
252,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-166-article_output,0.41176,0.96552,0.57732,0.38806,0.92857,0.54737,0.36364,0.88889,0.51613,0.33846,0.84615,0.48351,0.41176,0.96552,0.57732,0.36986,0.44225,0.40283,0.16594,0.93103,0.28168,0.17271,0.93318,0.29147
253,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-106-article_output,0.60902,0.33891,0.43548,0.34848,0.19328,0.24865,0.26718,0.14768,0.19022,0.21538,0.11864,0.153,0.6015,0.33473,0.43011,0.36526,0.10362,0.16144,0.32262,0.09957,0.15217,0.32682,0.10154,0.15494
254,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-199-article_output,0.65896,0.79167,0.71924,0.61628,0.74126,0.67302,0.5848,0.70423,0.63898,0.55294,0.66667,0.6045,0.65318,0.78472,0.71293,0.51035,0.30454,0.38146,0.41981,0.60664,0.49622,0.42259,0.60925,0.49904
255,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-123-article_output,0.79149,0.6039,0.68509,0.5812,0.443,0.50278,0.51502,0.39216,0.44527,0.47414,0.36066,0.40969,0.78298,0.5974,0.67772,0.46831,0.17369,0.2534,0.54934,0.31947,0.404,0.55137,0.3213,0.40601
256,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-193-article_output,0.80473,0.657,0.7234,0.69048,0.56311,0.62032,0.66467,0.54146,0.59677,0.64458,0.52451,0.57838,0.79882,0.65217,0.71808,0.5798,0.24454,0.34399,0.62475,0.41597,0.49942,0.62684,0.41827,0.50174
257,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-129-article_output,0.67857,0.23554,0.3497,0.42169,0.14523,0.21605,0.39024,0.13333,0.19875,0.38272,0.12971,0.19375,0.65476,0.22727,0.33742,0.51147,0.08709,0.14884,0.44464,0.05315,0.09495,0.45027,0.05466,0.09749
258,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-158-article_output,0.8125,0.60185,0.69149,0.62343,0.4613,0.53025,0.56303,0.41615,0.47857,0.51899,0.38318,0.44086,0.79583,0.58951,0.67731,0.47478,0.16638,0.24641,0.64902,0.35573,0.45957,0.65037,0.35723,0.46116
259,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-107-article_output,0.82258,0.68548,0.7478,0.64725,0.53908,0.58823,0.56169,0.46757,0.51033,0.50489,0.42005,0.45858,0.78065,0.65054,0.70968,0.49657,0.19032,0.27517,0.67088,0.46564,0.54973,0.67185,0.46681,0.55087
260,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-189-article_output,0.765,0.69545,0.72857,0.65327,0.59361,0.62201,0.62626,0.56881,0.59615,0.61421,0.5576,0.58454,0.755,0.68636,0.71905,0.54969,0.24892,0.34267,0.55588,0.45919,0.50293,0.55799,0.46135,0.50509
261,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-99-article_output,0.92632,0.68217,0.78572,0.82979,0.60938,0.70271,0.76344,0.55906,0.64546,0.70652,0.51587,0.59633,0.92632,0.68217,0.78572,0.70594,0.24079,0.3591,0.69586,0.37633,0.48848,0.70059,0.38096,0.49354
262,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-214-article_output,0.625,0.80189,0.70248,0.53875,0.69194,0.60581,0.5037,0.64762,0.56666,0.47584,0.61244,0.53557,0.61397,0.78774,0.69008,0.44122,0.26368,0.33009,0.39961,0.6585,0.49738,0.40127,0.65988,0.49906
263,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-162-article_output,0.53448,0.30693,0.38994,0.4386,0.25,0.31847,0.41071,0.23232,0.29677,0.4,0.22449,0.28758,0.51724,0.29703,0.37736,0.47066,0.15199,0.22978,0.28736,0.09406,0.14173,0.29591,0.09825,0.14752
264,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-203-article_output,0.42241,0.31013,0.35767,0.17391,0.12739,0.14706,0.12281,0.08974,0.1037,0.09735,0.07097,0.08209,0.37931,0.27848,0.32117,0.24459,0.09254,0.13428,0.15382,0.08272,0.10758,0.15844,0.08559,0.11114
265,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-197-article_output,0.89381,0.59412,0.71378,0.8125,0.53846,0.64769,0.78378,0.51786,0.62366,0.75455,0.49701,0.59928,0.89381,0.59412,0.71378,0.62371,0.20617,0.3099,0.7737,0.34083,0.4732,0.77578,0.34375,0.4764
266,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-138-article_output,0.7957,0.55639,0.65487,0.61622,0.43019,0.50667,0.52174,0.36364,0.42857,0.44809,0.31179,0.36772,0.77957,0.54511,0.64159,0.50862,0.1747,0.26007,0.62313,0.30418,0.4088,0.62501,0.30608,0.41092
267,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-109-article_output,0.79762,0.76426,0.78058,0.61753,0.5916,0.60429,0.54,0.51724,0.52838,0.48594,0.46538,0.47544,0.75397,0.72243,0.73786,0.50759,0.23444,0.32074,0.60491,0.55528,0.57903,0.60646,0.55688,0.58061
268,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-128-article_output,0.71368,0.50606,0.5922,0.48498,0.34347,0.40214,0.43103,0.30488,0.35714,0.38961,0.27523,0.32258,0.69231,0.49091,0.57447,0.40216,0.13702,0.2044,0.4761,0.23909,0.31832,0.47814,0.24071,0.32021
269,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-145-article_output,0.84173,0.60154,0.70165,0.7148,0.51031,0.59549,0.6558,0.4677,0.546,0.60727,0.43264,0.50529,0.82734,0.59126,0.68966,0.46833,0.15654,0.23465,0.70924,0.36186,0.47922,0.71019,0.36308,0.4805
270,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-164-article_output,1.0,0.43571,0.60696,1.0,0.43165,0.60301,1.0,0.42754,0.59899,1.0,0.42336,0.59487,1.0,0.43571,0.60696,0.89092,0.19891,0.32521,1.0,0.18808,0.31661,1.0,0.19151,0.32146
271,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-227-article_output,0.68991,0.72587,0.70743,0.46691,0.4913,0.47879,0.36464,0.38372,0.37394,0.30996,0.32621,0.31788,0.68073,0.71622,0.69802,0.35365,0.19494,0.25134,0.40911,0.45292,0.4299,0.41013,0.45396,0.43093
272,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-114-article_output,0.85526,0.71038,0.77612,0.72848,0.6044,0.66066,0.62667,0.51934,0.56798,0.55705,0.46111,0.50456,0.84868,0.70492,0.77015,0.56745,0.24377,0.34104,0.68055,0.46898,0.5553,0.68281,0.47158,0.55787
273,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-230-article_output,0.80312,0.6409,0.7129,0.65831,0.525,0.58415,0.61635,0.49123,0.54672,0.59937,0.47739,0.53147,0.77187,0.61596,0.68516,0.49447,0.17935,0.26323,0.63967,0.40709,0.49754,0.64069,0.40825,0.49872
274,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-198-article_output,0.7933,0.66047,0.72082,0.6573,0.54673,0.59694,0.58192,0.48357,0.52821,0.52841,0.43868,0.47938,0.77654,0.64651,0.70558,0.55065,0.214,0.30822,0.60643,0.41995,0.49625,0.60842,0.42211,0.49842
275,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-150-article_output,0.8169,0.67836,0.74121,0.66078,0.54839,0.59936,0.60993,0.50588,0.55305,0.57651,0.47788,0.52258,0.78873,0.65497,0.71565,0.51513,0.19461,0.2825,0.61828,0.42609,0.5045,0.61966,0.42756,0.50599
276,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-106-article_output,0.64413,0.75732,0.69615,0.45714,0.53782,0.49421,0.3871,0.4557,0.41861,0.33453,0.39407,0.36187,0.59431,0.69874,0.64231,0.36695,0.21994,0.27503,0.38734,0.53578,0.44963,0.38917,0.53764,0.45151
277,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-171-article_output,0.69737,0.67089,0.68387,0.58667,0.5641,0.57516,0.5,0.48052,0.49007,0.45205,0.43421,0.44295,0.68421,0.65823,0.67097,0.55032,0.24636,0.34035,0.46491,0.43006,0.44681,0.47043,0.43558,0.45233
278,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-122-article_output,0.52308,0.45333,0.48571,0.3125,0.27027,0.28985,0.22222,0.19178,0.20588,0.16129,0.13889,0.14925,0.41538,0.36,0.38571,0.29269,0.12096,0.17118,0.24567,0.18414,0.2105,0.2542,0.1913,0.21831
279,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-131-article_output,0.68504,0.78027,0.72956,0.55336,0.63063,0.58947,0.48016,0.54751,0.51163,0.43028,0.49091,0.4586,0.67717,0.7713,0.72118,0.43787,0.24827,0.31687,0.35374,0.45918,0.39962,0.35632,0.46202,0.40234
280,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-212-article_output,0.54615,0.61207,0.57723,0.47287,0.53043,0.5,0.45312,0.50877,0.47934,0.43307,0.48673,0.45833,0.54615,0.61207,0.57723,0.44842,0.25416,0.32443,0.30221,0.37991,0.33663,0.30585,0.38379,0.34042
281,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-174-article_output,0.83036,1.0,0.90732,0.81982,0.98913,0.89655,0.80909,0.97802,0.88557,0.79817,0.96667,0.87438,0.83036,1.0,0.90732,0.69206,0.41892,0.52191,0.68822,1.0,0.81532,0.69069,1.0,0.81705
282,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-165-article_output,0.73469,0.70588,0.72,0.60417,0.58,0.59184,0.57447,0.55102,0.5625,0.54348,0.52083,0.53191,0.73469,0.70588,0.72,0.65753,0.35143,0.45805,0.53061,0.48941,0.50918,0.5384,0.49736,0.51707
283,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-118-article_output,0.84541,0.71138,0.77263,0.70388,0.59184,0.64302,0.60976,0.5123,0.5568,0.54412,0.45679,0.49665,0.83092,0.69919,0.75938,0.56627,0.2256,0.32266,0.70916,0.50174,0.58769,0.71046,0.50342,0.58928
284,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-197-article_output,0.86111,0.54706,0.66907,0.76636,0.48521,0.59421,0.74528,0.47024,0.57664,0.74286,0.46707,0.57353,0.84259,0.53529,0.65467,0.57802,0.18261,0.27754,0.73988,0.2976,0.42447,0.74206,0.30047,0.42774
285,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-157-article_output,0.79293,0.57091,0.66385,0.60406,0.43431,0.50531,0.52551,0.37729,0.43923,0.47692,0.34191,0.39828,0.78283,0.56364,0.65539,0.49808,0.16613,0.24916,0.5494,0.28441,0.3748,0.55183,0.28646,0.37714
286,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-159-article_output,0.70968,0.51562,0.59728,0.63043,0.45669,0.52968,0.58242,0.42063,0.48848,0.54444,0.392,0.45581,0.69892,0.50781,0.58823,0.52822,0.19133,0.28091,0.48597,0.25578,0.33516,0.49062,0.25972,0.33964
287,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-215-article_output,0.47,0.73438,0.57317,0.33333,0.52381,0.40741,0.27551,0.43548,0.3375,0.24742,0.39344,0.30379,0.46,0.71875,0.56098,0.38245,0.29455,0.33279,0.17051,0.41865,0.24232,0.17647,0.42857,0.25
288,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-107-article_output,0.84848,0.15054,0.25571,0.58462,0.10243,0.17432,0.5,0.08649,0.14747,0.44444,0.07588,0.12963,0.78788,0.13978,0.23744,0.61164,0.04991,0.09229,0.70117,0.0218,0.04229,0.70543,0.02247,0.04355
289,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-151-article_output,0.51282,0.22472,0.3125,0.1039,0.0452,0.063,0.02632,0.01136,0.01587,0.0,0.0,0.0,0.42308,0.18539,0.25781,0.2403,0.0553,0.08991,0.23543,0.04488,0.07539,0.24253,0.04689,0.07859
290,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-190-article_output,0.84103,0.73214,0.78282,0.76804,0.66816,0.71463,0.7513,0.65315,0.6988,0.73438,0.63801,0.68281,0.8359,0.72768,0.77804,0.60894,0.2618,0.36617,0.65974,0.49964,0.56864,0.66152,0.50165,0.5706
291,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-214-article_output,0.61644,0.63679,0.62645,0.46789,0.48341,0.47552,0.43318,0.44762,0.44028,0.40741,0.42105,0.41412,0.60274,0.62264,0.61253,0.42702,0.20547,0.27744,0.38691,0.41295,0.39951,0.38902,0.41507,0.40162
292,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-227-article_output,0.73034,0.12548,0.21416,0.36364,0.0619,0.10579,0.1954,0.03295,0.05639,0.13953,0.0233,0.03993,0.68539,0.11776,0.20099,0.39485,0.03554,0.06521,0.48672,0.01423,0.02765,0.49226,0.01466,0.02847
293,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-96-article_output,0.67136,0.57661,0.62039,0.40094,0.34413,0.37037,0.3128,0.26829,0.28884,0.24286,0.20816,0.22418,0.60563,0.52016,0.55965,0.35201,0.14978,0.21014,0.42634,0.31429,0.36184,0.42861,0.31637,0.36403
294,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-144-article_output,0.51724,0.55556,0.53572,0.35652,0.38318,0.36937,0.2807,0.30189,0.29091,0.22124,0.2381,0.22936,0.4569,0.49074,0.47322,0.33444,0.17463,0.22945,0.22924,0.26462,0.24566,0.23405,0.26984,0.25067
295,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-118-article_output,0.61881,0.50813,0.55803,0.45274,0.37143,0.40807,0.375,0.30738,0.33784,0.33166,0.2716,0.29864,0.59406,0.4878,0.53571,0.31653,0.12306,0.17722,0.38057,0.25638,0.30637,0.38289,0.25839,0.30855
296,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-205-article_output,0.69444,0.70093,0.69767,0.57944,0.58491,0.58216,0.56604,0.57143,0.56872,0.55238,0.55769,0.55502,0.67593,0.68224,0.67907,0.56331,0.29108,0.38383,0.4576,0.46623,0.46187,0.46202,0.47066,0.4663
297,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-219-article_output,0.66667,0.90476,0.76768,0.53571,0.73171,0.61855,0.41818,0.575,0.48421,0.33333,0.46154,0.3871,0.59649,0.80952,0.68687,0.49076,0.31539,0.384,0.34148,0.63298,0.44363,0.3523,0.64523,0.45575
