Rouge Type,Filename,ROUGE-1,ROUGE-1,ROUGE-1,ROUGE-2,ROUGE-2,ROUGE-2,ROUGE-3,ROUGE-3,ROUGE-3,ROUGE-4,ROUGE-4,ROUGE-4,ROUGE-L,ROUGE-L,ROUGE-L,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-W-1.2,ROUGE-S*,ROUGE-S*,ROUGE-S*,ROUGE-SU*,ROUGE-SU*,ROUGE-SU*
937,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-172-article_output,0.8913,0.55405,0.68333,0.84444,0.52055,0.64407,0.81818,0.5,0.62069,0.7907,0.47887,0.59649,0.8913,0.55405,0.68333,0.79315,0.23737,0.36539,0.79227,0.30359,0.43897,0.7963,0.31002,0.44629
938,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-215-article_output,0.72222,0.60938,0.66102,0.56604,0.47619,0.51724,0.48077,0.40323,0.4386,0.43137,0.36066,0.39286,0.7037,0.59375,0.64407,0.55137,0.22931,0.32391,0.51852,0.36806,0.43052,0.52561,0.37518,0.43783
939,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-202-article_output,0.84071,0.65972,0.7393,0.70536,0.55245,0.61961,0.65766,0.51408,0.57707,0.62727,0.48936,0.5498,0.81416,0.63889,0.71595,0.61109,0.23202,0.33634,0.69564,0.42754,0.52959,0.69814,0.43069,0.53273
940,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-211-article_output,0.61957,0.65517,0.63687,0.52747,0.55814,0.54237,0.51111,0.54118,0.52572,0.49438,0.52381,0.50867,0.59783,0.63218,0.61453,0.50723,0.27334,0.35524,0.38247,0.42796,0.40394,0.38765,0.43324,0.40918
941,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-119-article_output,0.46886,0.56889,0.51405,0.23897,0.29018,0.2621,0.15867,0.19283,0.17409,0.11111,0.13514,0.12195,0.42491,0.51556,0.46587,0.25656,0.14912,0.18861,0.20432,0.30103,0.24342,0.20623,0.30337,0.24554
942,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-199-article_output,0.73196,0.49306,0.58922,0.54167,0.36364,0.43515,0.47368,0.3169,0.37974,0.43617,0.29078,0.34894,0.71134,0.47917,0.57262,0.50573,0.16921,0.25358,0.46048,0.20824,0.28679,0.46612,0.21219,0.29162
943,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-185-article_output,0.76429,0.62941,0.69032,0.59712,0.49112,0.53896,0.55797,0.45833,0.50327,0.54015,0.44311,0.48684,0.73571,0.60588,0.66451,0.53719,0.21652,0.30864,0.55622,0.37675,0.44922,0.55912,0.37966,0.45224
944,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-152-article_output,0.72332,0.7625,0.74239,0.60714,0.64017,0.62322,0.5259,0.55462,0.53988,0.468,0.49367,0.48049,0.66008,0.69583,0.67748,0.42868,0.2141,0.28557,0.4829,0.53675,0.5084,0.48478,0.53861,0.51028
945,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-182-article_output,0.68844,0.73656,0.71169,0.61616,0.65946,0.63708,0.59391,0.63587,0.61417,0.57653,0.61749,0.59631,0.68844,0.73656,0.71169,0.49209,0.27205,0.35039,0.44891,0.51404,0.47927,0.45128,0.51639,0.48164
946,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-104-article_output,0.66222,0.57752,0.61698,0.39286,0.34241,0.3659,0.30942,0.26953,0.2881,0.26126,0.22745,0.24319,0.62667,0.54651,0.58385,0.40018,0.16438,0.23304,0.36222,0.27533,0.31285,0.36485,0.27764,0.31533
947,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-172-article_output,0.7191,0.86486,0.78527,0.67045,0.80822,0.73292,0.64368,0.77778,0.7044,0.62791,0.76056,0.6879,0.7191,0.86486,0.78527,0.61852,0.35814,0.45362,0.48979,0.71011,0.57972,0.49476,0.71413,0.58454
948,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-230-article_output,1.0,0.3192,0.48393,0.99213,0.315,0.47818,0.98413,0.31078,0.47238,0.976,0.30653,0.46654,1.0,0.3192,0.48393,0.56603,0.08212,0.14343,1.0,0.10135,0.18405,1.0,0.10242,0.18581
949,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-201-article_output,0.91748,0.88732,0.90215,0.89268,0.86321,0.8777,0.87255,0.8436,0.85783,0.85222,0.82381,0.83777,0.91748,0.88732,0.90215,0.60169,0.2917,0.39291,0.84153,0.78701,0.81336,0.84231,0.78798,0.81424
950,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-200-article_output,0.48077,0.61881,0.54113,0.29344,0.37811,0.33044,0.21705,0.28,0.24454,0.19066,0.24623,0.21491,0.43077,0.55446,0.48485,0.28353,0.18084,0.22083,0.21791,0.36141,0.27189,0.2199,0.36392,0.27415
951,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-156-article_output,0.78972,0.76471,0.77701,0.65728,0.63636,0.64665,0.59906,0.57991,0.58933,0.55924,0.54128,0.55011,0.76636,0.74208,0.75402,0.53397,0.24964,0.34022,0.59032,0.55343,0.57128,0.5922,0.55536,0.57319
952,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-210-article_output,0.40237,0.65072,0.49726,0.13056,0.21154,0.16147,0.03869,0.0628,0.04788,0.01493,0.02427,0.01849,0.3284,0.5311,0.40585,0.18408,0.15029,0.16548,0.14182,0.3716,0.20529,0.14336,0.37427,0.20731
953,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-108-article_output,0.67039,0.61538,0.64171,0.41011,0.37629,0.39247,0.32203,0.29534,0.30811,0.27841,0.25521,0.26631,0.60894,0.55897,0.58289,0.38096,0.17824,0.24286,0.4301,0.36225,0.39327,0.43274,0.3648,0.39588
954,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-170-article_output,0.67647,0.62162,0.64789,0.56716,0.52055,0.54286,0.51515,0.47222,0.49275,0.46154,0.42254,0.44118,0.66176,0.60811,0.6338,0.54047,0.2755,0.36496,0.44644,0.37653,0.40852,0.4533,0.3832,0.41531
955,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-112-article_output,0.76712,0.29474,0.42586,0.51389,0.19577,0.28353,0.35211,0.13298,0.19305,0.24286,0.09091,0.1323,0.57534,0.22105,0.31939,0.38252,0.067,0.11403,0.51218,0.07497,0.13079,0.51889,0.07722,0.13443
956,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-141-article_output,0.94118,0.55172,0.69565,0.80741,0.47186,0.59563,0.70896,0.41304,0.52198,0.61654,0.35808,0.45304,0.88971,0.52155,0.65761,0.5705,0.16001,0.24992,0.88464,0.30307,0.45147,0.88535,0.30514,0.45386
957,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-227-article_output,0.62185,0.42857,0.50743,0.30056,0.20696,0.24513,0.19718,0.13566,0.16073,0.15254,0.10485,0.12428,0.59104,0.40734,0.48229,0.31693,0.11443,0.16815,0.37758,0.17919,0.24304,0.37896,0.18015,0.24421
958,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-144-article_output,0.48993,0.67593,0.56809,0.32432,0.4486,0.37647,0.2585,0.35849,0.30039,0.21233,0.29524,0.24701,0.45638,0.62963,0.52919,0.31353,0.21029,0.25174,0.21087,0.40239,0.27672,0.21461,0.40748,0.28115
959,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-229-article_output,0.84416,0.1277,0.22184,0.63158,0.09449,0.16439,0.58667,0.08679,0.15121,0.56757,0.083,0.14482,0.79221,0.11984,0.20819,0.66424,0.04965,0.09239,0.7136,0.01615,0.03159,0.71686,0.01658,0.03241
960,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-136-article_output,0.89011,0.41221,0.56347,0.67403,0.31122,0.42582,0.58333,0.26854,0.36777,0.51397,0.2359,0.32338,0.87363,0.40458,0.55304,0.52227,0.11319,0.18606,0.74725,0.15979,0.26328,0.7488,0.16106,0.2651
961,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-174-article_output,0.71429,0.48387,0.57692,0.56452,0.38043,0.45454,0.52459,0.35165,0.42105,0.51667,0.34444,0.41333,0.66667,0.45161,0.53846,0.59451,0.20243,0.30202,0.39119,0.17859,0.24523,0.40099,0.1849,0.2531
962,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-145-article_output,0.79673,0.87661,0.83476,0.70492,0.77577,0.73865,0.64319,0.70801,0.67405,0.6,0.66062,0.62885,0.79206,0.87147,0.82987,0.47017,0.24195,0.31949,0.41744,0.50546,0.45725,0.41919,0.50734,0.45907
963,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-231-article_output,0.38272,0.68132,0.49012,0.17337,0.30939,0.22222,0.11491,0.20556,0.14741,0.081,0.14525,0.104,0.3642,0.64835,0.4664,0.21479,0.21586,0.21532,0.148,0.47016,0.22513,0.14942,0.47244,0.22703
964,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-161-article_output,0.7197,0.84821,0.77869,0.64885,0.76577,0.70248,0.62308,0.73636,0.675,0.60465,0.7156,0.65546,0.71212,0.83929,0.77049,0.43241,0.26886,0.33156,0.50786,0.7064,0.5909,0.51111,0.70902,0.59401
965,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-124-article_output,0.82278,0.65,0.72626,0.65385,0.51515,0.57627,0.51948,0.40816,0.45714,0.42105,0.3299,0.36994,0.72152,0.57,0.63687,0.49168,0.19194,0.2761,0.51899,0.32303,0.39821,0.52612,0.32917,0.40497
966,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-223-article_output,0.74257,0.74751,0.74503,0.62583,0.63,0.62791,0.60797,0.61204,0.61,0.6,0.60403,0.60201,0.71617,0.72093,0.71854,0.49912,0.23534,0.31986,0.53964,0.54684,0.54322,0.54094,0.54814,0.54452
967,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-141-article_output,0.91765,0.67241,0.77612,0.76923,0.56277,0.65,0.67857,0.49565,0.57286,0.59281,0.43231,0.5,0.85882,0.62931,0.72637,0.58075,0.20361,0.30151,0.83557,0.44794,0.58322,0.83645,0.44981,0.58502
968,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-157-article_output,0.71206,0.66545,0.68797,0.51172,0.4781,0.49434,0.44706,0.41758,0.43182,0.40157,0.375,0.38783,0.68482,0.64,0.66165,0.44239,0.19153,0.26732,0.44625,0.38965,0.41603,0.44827,0.3916,0.41802
969,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-194-article_output,0.68449,0.67725,0.68085,0.53226,0.5266,0.52941,0.49189,0.48663,0.48925,0.45652,0.45161,0.45405,0.6738,0.66667,0.67022,0.36905,0.18743,0.2486,0.4584,0.44872,0.45351,0.46083,0.45115,0.45594
970,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-192-article_output,0.30435,0.23333,0.26415,0.04444,0.0339,0.03846,0.0,0.0,0.0,0.0,0.0,0.0,0.26087,0.2,0.22642,0.18303,0.07092,0.10223,0.0715,0.04181,0.05277,0.08148,0.04811,0.0605
971,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-108-article_output,0.6619,0.71282,0.68642,0.52153,0.56186,0.54094,0.47596,0.51295,0.49376,0.44444,0.47917,0.46115,0.63333,0.68205,0.65679,0.44006,0.24155,0.3119,0.44757,0.51927,0.48076,0.44958,0.52122,0.48276
972,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-167-article_output,0.77333,0.80556,0.78912,0.69128,0.72028,0.70548,0.65541,0.6831,0.66897,0.63946,0.66667,0.65278,0.76667,0.79861,0.78231,0.60006,0.31282,0.41125,0.58327,0.63306,0.60715,0.58575,0.63541,0.60957
973,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-164-article_output,0.62424,0.73571,0.67541,0.56707,0.66906,0.61386,0.54601,0.64493,0.59136,0.53704,0.63504,0.58194,0.61818,0.72857,0.66885,0.48913,0.2954,0.36835,0.39956,0.5556,0.46483,0.40222,0.55811,0.46751
974,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-105-article_output,0.46652,0.71821,0.56563,0.27517,0.42414,0.33379,0.21076,0.32526,0.25578,0.17528,0.27083,0.21282,0.43973,0.67698,0.53315,0.25898,0.19673,0.2236,0.20896,0.49586,0.29402,0.21009,0.49735,0.2954
975,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-125-article_output,0.74,0.74,0.74,0.60606,0.60606,0.60606,0.54082,0.54082,0.54082,0.48454,0.48454,0.48454,0.72,0.72,0.72,0.53037,0.27576,0.36286,0.45677,0.45677,0.45677,0.46247,0.46247,0.46247
976,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-127-article_output,0.83028,0.60333,0.69884,0.64055,0.46488,0.53876,0.58796,0.42617,0.49416,0.54884,0.39731,0.46094,0.77982,0.56667,0.65637,0.50566,0.17668,0.26186,0.65408,0.34495,0.45169,0.65568,0.34665,0.45353
977,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-160-article_output,0.73737,0.68868,0.71219,0.64286,0.6,0.62069,0.61856,0.57692,0.59701,0.59375,0.5534,0.57287,0.72727,0.67925,0.70244,0.51027,0.26458,0.34847,0.48217,0.42031,0.44912,0.48717,0.42522,0.45409
978,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-225-article_output,0.65254,0.36321,0.46667,0.38462,0.21327,0.27439,0.30172,0.16667,0.21473,0.25217,0.13876,0.17901,0.60169,0.33491,0.43031,0.40113,0.10838,0.17065,0.36709,0.1133,0.17316,0.37179,0.1156,0.17636
979,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-108-article_output,0.7173,0.87179,0.78704,0.57203,0.69588,0.62791,0.50213,0.6114,0.5514,0.44872,0.54688,0.49296,0.67089,0.81538,0.73611,0.45845,0.28399,0.35072,0.43775,0.64721,0.52226,0.44004,0.64943,0.52461
980,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-103-article_output,0.62611,0.70569,0.66352,0.41667,0.4698,0.44164,0.33731,0.38047,0.35759,0.29042,0.3277,0.30794,0.57567,0.64883,0.61006,0.35391,0.19196,0.24891,0.38185,0.48526,0.42739,0.38331,0.48674,0.42888
981,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-162-article_output,0.69725,0.75248,0.72381,0.67593,0.73,0.70193,0.65421,0.70707,0.67961,0.63208,0.68367,0.65686,0.69725,0.75248,0.72381,0.54724,0.33212,0.41337,0.49185,0.57327,0.52945,0.4955,0.5767,0.53303
982,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-205-article_output,0.75439,0.40187,0.52439,0.58929,0.31132,0.40741,0.58182,0.30476,0.4,0.57407,0.29808,0.39241,0.7193,0.38318,0.5,0.65584,0.17886,0.28107,0.56579,0.15923,0.24852,0.57264,0.16375,0.25467
983,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-luhn-sent-token-191-article_output,0.75439,0.23889,0.36287,0.60714,0.18994,0.28936,0.56364,0.17416,0.2661,0.53704,0.16384,0.25108,0.75439,0.23889,0.36287,0.18754,0.03093,0.0531,0.56015,0.05549,0.10098,0.56719,0.05752,0.10445
984,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-154-article_output,0.89666,0.76031,0.82287,0.78354,0.66408,0.71888,0.70948,0.60104,0.65077,0.64724,0.54805,0.59353,0.8541,0.72423,0.78382,0.53406,0.20693,0.29828,0.58186,0.41817,0.48662,0.58374,0.4199,0.48845
985,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-sumbasic-sent-token-107-article_output,0.86567,0.62366,0.725,0.64419,0.46361,0.53918,0.55639,0.4,0.46541,0.49057,0.3523,0.41009,0.8209,0.5914,0.6875,0.51235,0.16976,0.25502,0.74672,0.38715,0.50992,0.74759,0.38841,0.51122
986,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-116-article_output,0.66667,0.55678,0.60679,0.45374,0.37868,0.41283,0.34071,0.28413,0.30986,0.28,0.23333,0.25454,0.61842,0.51648,0.56287,0.39947,0.15846,0.22691,0.40073,0.2793,0.32917,0.40306,0.28134,0.33138
987,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-213-article_output,0.82883,0.71318,0.76667,0.68326,0.58755,0.6318,0.62727,0.53906,0.57983,0.59361,0.5098,0.54852,0.81532,0.70155,0.75417,0.55662,0.22333,0.31876,0.67266,0.49772,0.57212,0.67405,0.49937,0.57371
988,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-208-article_output,0.43142,0.78313,0.55635,0.27716,0.50403,0.35765,0.20889,0.38057,0.26973,0.17372,0.31707,0.22446,0.42035,0.76305,0.54208,0.27361,0.24474,0.25837,0.18378,0.60668,0.2821,0.18488,0.60812,0.28355
989,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-224-article_output,0.8595,0.84553,0.85246,0.775,0.7623,0.7686,0.7479,0.73554,0.74167,0.72034,0.70833,0.71428,0.84298,0.82927,0.83607,0.66845,0.30123,0.41531,0.72163,0.69825,0.70975,0.72385,0.70059,0.71203
990,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-191-article_output,0.77246,0.71667,0.74352,0.68072,0.63128,0.65507,0.66061,0.61236,0.63557,0.64634,0.59887,0.6217,0.77246,0.71667,0.74352,0.44402,0.21452,0.28928,0.60212,0.51806,0.55694,0.60412,0.52023,0.55905
991,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-192-article_output,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89249,0.45108,0.59928,1.0,1.0,1.0,1.0,1.0,1.0
992,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-208-article_output,0.41975,0.81928,0.5551,0.27629,0.54032,0.36562,0.20868,0.40891,0.27634,0.16977,0.33333,0.22496,0.40535,0.79116,0.53605,0.26124,0.25126,0.25615,0.1323,0.50499,0.20967,0.13348,0.50752,0.21137
993,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-212-article_output,0.51799,0.62069,0.56471,0.38406,0.46087,0.41897,0.34307,0.41228,0.3745,0.31618,0.38053,0.34538,0.48921,0.58621,0.53334,0.38372,0.23255,0.28959,0.25336,0.36432,0.29887,0.25707,0.36861,0.3029
994,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-105-article_output,0.47964,0.72852,0.57845,0.30612,0.46552,0.36936,0.24318,0.37024,0.29355,0.20046,0.30556,0.2421,0.44118,0.6701,0.53206,0.261,0.19561,0.22362,0.22241,0.51371,0.31042,0.22356,0.51517,0.31181
995,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-183-article_output,0.7459,0.65942,0.7,0.6281,0.55474,0.58915,0.60833,0.53676,0.57031,0.58824,0.51852,0.55118,0.72951,0.64493,0.68462,0.55163,0.2397,0.33419,0.47609,0.37173,0.41749,0.48041,0.37581,0.42172
996,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-220-article_output,0.94366,0.95714,0.95035,0.9,0.91304,0.90647,0.86957,0.88235,0.87591,0.83824,0.85075,0.84445,0.94366,0.95714,0.95035,0.81118,0.35177,0.49073,0.88974,0.91553,0.90245,0.89119,0.91667,0.90375
997,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-231-article_output,0.39785,0.60989,0.48156,0.17266,0.26519,0.20915,0.12274,0.18889,0.14879,0.0942,0.14525,0.11428,0.36559,0.56044,0.44252,0.21205,0.18351,0.19675,0.15729,0.37035,0.2208,0.15899,0.37293,0.22294
998,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-107-article_output,0.80524,0.57796,0.67293,0.60902,0.43666,0.50863,0.53585,0.38378,0.44724,0.49621,0.35501,0.4139,0.75655,0.54301,0.63224,0.49431,0.16317,0.24535,0.63879,0.32873,0.43408,0.64002,0.33005,0.43551
999,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-161-article_output,0.58889,0.47321,0.52475,0.41573,0.33333,0.37,0.40909,0.32727,0.36363,0.4023,0.3211,0.35714,0.55556,0.44643,0.49505,0.43246,0.18333,0.2575,0.30362,0.19562,0.23794,0.30997,0.20057,0.24355
1000,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-gen-s-sent-token-223-article_output,0.80843,0.701,0.75089,0.66538,0.57667,0.61786,0.63707,0.55184,0.5914,0.62016,0.53691,0.57554,0.77011,0.66777,0.7153,0.53251,0.21627,0.30761,0.63162,0.47466,0.54201,0.63293,0.47613,0.54345
1001,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-123-article_output,0.67939,0.57792,0.62456,0.47893,0.40717,0.44014,0.38077,0.32353,0.34982,0.2973,0.25246,0.27305,0.64122,0.54545,0.58947,0.38492,0.15916,0.2252,0.42251,0.30555,0.35464,0.42445,0.3073,0.3565
1002,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-110-article_output,0.80571,0.58264,0.67625,0.64368,0.46473,0.53976,0.56647,0.40833,0.47457,0.51163,0.3682,0.42822,0.79429,0.57438,0.66667,0.52656,0.18093,0.26932,0.55796,0.29131,0.38277,0.56069,0.29365,0.38544
1003,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-111-article_output,0.69787,0.74545,0.72088,0.54701,0.58447,0.56512,0.47639,0.50917,0.49223,0.42672,0.45622,0.44098,0.66383,0.70909,0.68571,0.45867,0.24342,0.31805,0.39767,0.45388,0.42392,0.40019,0.4565,0.42649
1004,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-98-article_output,0.82022,0.68868,0.74872,0.65909,0.55238,0.60104,0.56322,0.47115,0.51309,0.51163,0.42718,0.46561,0.79775,0.66981,0.7282,0.58097,0.23885,0.33852,0.62079,0.43684,0.51282,0.62512,0.44145,0.51747
1005,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-107-article_output,0.85714,0.58065,0.69231,0.6494,0.43935,0.52411,0.564,0.38108,0.45484,0.50602,0.34146,0.40776,0.81349,0.55108,0.65705,0.47778,0.14886,0.227,0.71574,0.32803,0.44988,0.71685,0.32937,0.45136
1006,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-textrank-sent-token-196-article_output,0.59897,0.82624,0.69448,0.5232,0.72242,0.60688,0.50129,0.69286,0.58171,0.48705,0.67384,0.56542,0.58869,0.81206,0.68257,0.4203,0.28127,0.33701,0.34984,0.66634,0.4588,0.35111,0.66746,0.46016
1007,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lexrank-sent-token-157-article_output,0.8,0.66909,0.72871,0.62009,0.51825,0.56461,0.53947,0.45055,0.49102,0.48018,0.40074,0.43688,0.76522,0.64,0.69703,0.49241,0.19079,0.27502,0.61261,0.42821,0.50408,0.61421,0.42995,0.50582
1008,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-150-article_output,0.81295,0.66082,0.72903,0.66426,0.53959,0.59547,0.61594,0.5,0.55195,0.57818,0.46903,0.51792,0.78417,0.63743,0.70323,0.48159,0.17809,0.26002,0.62886,0.41524,0.5002,0.63017,0.41666,0.50164
1009,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-166-article_output,0.4058,0.96552,0.57143,0.38235,0.92857,0.54166,0.35821,0.88889,0.51064,0.33333,0.84615,0.47826,0.4058,0.96552,0.57143,0.3645,0.44225,0.39963,0.16113,0.93103,0.27472,0.16777,0.93318,0.28441
1010,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-1-sent-token-198-article_output,0.77419,0.55814,0.64865,0.61688,0.44393,0.51631,0.55556,0.39906,0.46448,0.50658,0.36321,0.42308,0.75484,0.54419,0.63244,0.55037,0.18521,0.27715,0.4062,0.21074,0.27751,0.41087,0.21392,0.28135
1011,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-nltk-2-sent-token-144-article_output,0.45238,0.7037,0.55072,0.31138,0.48598,0.37956,0.24096,0.37736,0.29412,0.19394,0.30476,0.23704,0.41667,0.64815,0.50725,0.28559,0.21597,0.24595,0.20174,0.48979,0.28577,0.20472,0.4938,0.28944
1012,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-kldiv-sent-token-179-article_output,0.5679,0.55422,0.56098,0.36646,0.35758,0.36197,0.31875,0.31098,0.31482,0.2956,0.28834,0.29192,0.54321,0.53012,0.53659,0.35361,0.17717,0.23606,0.26455,0.25192,0.25808,0.26822,0.25548,0.2617
1013,/home/sandhya/Desktop/extract-summ-output-scores/political-1/exp1-political-scores/exp1-lsa-sent-token-228-article_output,0.57868,0.63158,0.60397,0.40712,0.44444,0.42496,0.35969,0.39276,0.3755,0.3376,0.36872,0.35247,0.56091,0.61219,0.58543,0.35792,0.19265,0.25048,0.32782,0.39058,0.35646,0.32907,0.39189,0.35774
